phoneNumber,startTime,endTime,direction,userId
345-678-9012,1659605740,1659605800,,3
456-789-0123,1659605850,1659605900,outbound,4
567-890-1234,1659605900,1659606000,inbound,2
456-789-0123,1659606310,1659606400,inbound,
456-789-0123,1659605340,1659605400,inbound,4
567-890-1234,1659605490,1659605500,outbound,2
123-456-7890,1659605580,drop table students;,1659605600,inbound,1
456-789-0123,1659604870,1659604900,outbound,2
567-890-1234,,165960510,inbound,4
123-456-7890,1659605000,1659605100,outbound,1
345-678-9012,1659604720,1659604800,inbound,1
123-456-7890,1659604560,1659604600,inbound,1
234-567-8901,1659604670,1659604700,outbound,2
123-456-7890,,,inbound,5
123-456-7890,1659605900,1659606100,outbound,1
